passed,failed
https://www.naukri.com/job-listings-lead-power-bi-developer-conduent-business-services-india-llp-bengaluru-5-to-9-years-110725923677,https://www.naukri.com/job-listings-lead-power-bi-developer-conduent-bengaluru-3-to-7-years-100725502705
https://www.naukri.com/job-listings-power-bi-developer-5-years-with-ssrs-and-azure-immediate-aspire-systems-kochi-chennai-bengaluru-5-to-8-years-040725032592,https://www.naukri.com/job-listings-powerbi-developer-ups-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-10-years-260425501499
https://www.naukri.com/job-listings-powerbi-developer-pan-india-infosys-hyderabad-chennai-bengaluru-3-to-8-years-130525024969,https://www.naukri.com/job-listings-powerbi-developer-ibs-software-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-210125503913
https://www.naukri.com/job-listings-powerbi-developer-pan-india-infosys-hyderabad-chennai-bengaluru-3-to-8-years-020425007906,
